Postinumero-kunta-avain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aluejako: 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom! Postinumeroalueen kunta on m„„ritelty sen mukaan, mink„ kunnan puolella suurin osa postinumeroalueen pinta-alasta sijaitsee.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Postinumeroalue;Postinumeroalueen nimi;Postinumeroalueen nimi (sv);Kunta;Kunnan nimi;Kunnan nimi (sv);Kuntaryhm„;Kuntaryhm„n nimi;Seutukunta;Seutukunnan nimi;Maakunta;Maakunnan nimi;Suuralue;Suuralueen nimi;AVI;AVI:n nimi;ELY;ELY:n nimi;NUTS 1;NUTS 1 nimi;NUTS 2;NUTS 2 nimi;NUTS 3;NUTS 3 nimi;Sairaanhoitopiiri;Sairaanhoitopiirin nimi;Vaalipiiri;Vaalipiirin nimi;Hovioikeus;Hovioikeuden nimi;K„r„j„oikeus;K„r„j„oikeuden nimi
62710;Kurejoki;Kurejoki;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62720;Sissala;Sissala;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62730;Haukkala;Haukkala;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62740;Koskenvarsi;Koskenvarsi;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62750;Saukonkyl„;Saukonkyl„;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62760;Menkij„rvi;Menkij„rvi;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62830;Luoma-Aho;Luoma-aho;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62900;Alaj„rvi Keskus;Alaj„rvi centrum;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62920;Levijoki;Levijoki;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62940;Hoisko;Hoisko;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62950;Paalij„rvi;Paalij„rvi;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
62990;M”ksy;M”ksy;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63500;Lehtim„ki Keskus;Lehtim„ki centrum;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63510;Lehtim„ki Kirkonkyl„;Lehtim„ki kb;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63530;L„nsikyl„;L„nsikyl„;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
63540;Hernesmaa;Hernesmaa;005;Alaj„rvi;Alaj„rvi;3;Maaseutumaiset kunnat;146;J„rviseutu;14;Etel„-Pohjanmaa;3;L„nsi-Suomi;4;L„nsi- ja Sis„-Suomen AVI;11;Etel„-Pohjanmaan ELY-keskus;FI1;MANNER-SUOMI;FI19;L„nsi-Suomi;FI194;Etel„-Pohjanmaa;15;Etel„-Pohjanmaan SHP;12;Vaasan vaalipiiri;4;Vaasan hovioikeus;757;Etel„-Pohjanmaa
