"Vuosi","Postinumero","Keskiarvo","Lukumäärä"
2005,"00100",3610,475
2005,"00120",3943,218
2005,"00130",4047,56
2005,"00140",4201,283
2005,"00150",3875,398
2005,"00160",4040,61
2005,"00170",3666,197
2005,"00180",3697,251
2005,"00190",NA,NA
2005,"00200",2973,652
2005,"00210",3298,170
2005,"00240",NA,1
2005,"00250",3473,402
2005,"00260",3644,208
2005,"00270",3177,260
2005,"00280",3059,79
2005,"00290",NA,2
2005,"00300",2671,17
2005,"00310",2573,32
2005,"00320",2736,429
2005,"00330",3260,244
2005,"00340",2974,31
2005,"00350",2667,255
2005,"00360",2369,73
2005,"00370",2473,151
2005,"00380",NA,NA
2005,"00390",2181,110
2005,"00400",2321,274
2005,"00410",1989,20
2005,"00420",2001,245
2005,"00430",2433,29
2005,"00440",2487,109
2005,"00500",2893,668
2005,"00510",2762,477
2005,"00520",2566,144
2005,"00530",2972,700
2005,"00540",NA,NA
2005,"00550",2809,305
2005,"00560",2900,87
2005,"00570",3005,99
2005,"00580",NA,NA
2005,"00590",NA,NA
2005,"00600",2058,29
2005,"00610",2619,204
2005,"00620",2182,76
2005,"00630",2088,131
2005,"00640",2187,208
2005,"00650",2420,35
2005,"00660",2672,86
2005,"00670",2722,74
2005,"00680",2486,39
2005,"00690",NA,3
2005,"00700",2204,138
2005,"00710",1772,222
2005,"00720",2114,142
2005,"00730",2281,122
2005,"00740",1923,97
2005,"00750",1914,108
2005,"00760",2129,91
2005,"00770",1576,51
2005,"00780",2395,92
2005,"00790",2892,36
2005,"00800",2465,139
2005,"00810",2725,68
2005,"00820",2001,208
2005,"00830",2823,45
2005,"00840",2204,247
2005,"00850",3189,14
2005,"00870",2091,40
2005,"00900",2024,83
2005,"00910",2054,155
2005,"00920",1674,146
2005,"00930",2386,54
2005,"00940",1735,340
2005,"00950",2532,42
2005,"00960",1835,244
2005,"00970",1893,175
2005,"00980",2175,219
2005,"00990",3109,104
2005,"01120",NA,NA
2005,"01150",1857,23
2005,"01180",NA,NA
2005,"01200",1583,154
2005,"01230",1991,79
2005,"01260",2028,30
2005,"01280",1830,204
2005,"01300",2162,418
2005,"01350",1826,186
2005,"01360",1495,317
2005,"01370",2003,96
2005,"01380",2035,17
2005,"01390",2174,102
2005,"01400",1961,36
2005,"01420",2001,10
2005,"01450",1879,276
2005,"01480",1510,141
2005,"01490",1746,16
2005,"01510",2282,10
2005,"01520",2561,44
2005,"01600",1905,423
2005,"01610",1749,150
2005,"01620",1717,290
2005,"01630",2327,42
2005,"01640",2038,15
2005,"01650",1633,94
2005,"01660",2006,34
2005,"01670",2096,60
2005,"01680",1991,10
2005,"01690",2500,29
2005,"01700",NA,2
2005,"01710",1878,225
2005,"01720",NA,1
2005,"01730",1544,45
2005,"01750",NA,NA
2005,"01760",NA,1
2005,"01800",1833,163
2005,"01820",1909,65
2005,"01830",NA,3
2005,"01840",NA,NA
2005,"01860",NA,1
2005,"01900",1652,85
2005,"01940",NA,NA
2005,"02100",2698,118
2005,"02110",2612,99
2005,"02120",2547,105
2005,"02130",2497,152
2005,"02140",2354,48
2005,"02150",2395,9
2005,"02160",3135,47
2005,"02170",2829,137
2005,"02180",2584,118
2005,"02200",2387,150
2005,"02210",2158,298
2005,"02230",2209,432
2005,"02240",2191,12
2005,"02260",2137,84
2005,"02270",2421,32
2005,"02280",2420,73
2005,"02300",2598,24
2005,"02320",2120,430
2005,"02330",2436,40
2005,"02340",2345,138
2005,"02360",1931,224
2005,"02380",NA,NA
2005,"02400",1743,133
2005,"02410",1311,87
2005,"02420",1441,10
2005,"02430",1928,69
2005,"02450",NA,NA
2005,"02460",1420,31
2005,"02480",NA,NA
2005,"02540",NA,NA
2005,"02550",NA,1
2005,"02570",1144,7
2005,"02580",1690,22
2005,"02600",2333,141
2005,"02610",2674,68
2005,"02620",1994,108
2005,"02630",2151,68
2005,"02650",2262,302
2005,"02660",2355,27
2005,"02680",NA,4
2005,"02700",2775,141
2005,"02710",1991,150
2005,"02720",1984,62
2005,"02730",2361,40
2005,"02740",NA,NA
2005,"02750",2402,51
2005,"02760",1966,236
2005,"02770",1979,131
2005,"02780",1809,32
2005,"02810",NA,2
2005,"02820",NA,NA
2005,"02860",NA,NA
2005,"02880",1804,75
2005,"02920",2193,12
2005,"02940",2354,168
2005,"02970",2157,21
2005,"03100",1680,278
2005,"03150",NA,NA
2005,"03250",1646,13
2005,"03300",NA,NA
2005,"03320",NA,NA
2005,"03400",1542,65
2005,"03600",1253,72
2005,"03620",1224,18
2005,"03810",NA,1
2005,"03850",NA,4
2005,"04130",2026,100
2005,"04200",1682,247
2005,"04220",1730,29
2005,"04230",1686,143
2005,"04240",NA,1
2005,"04250",1716,57
2005,"04260",1602,113
2005,"04300",1829,152
2005,"04310",2019,27
2005,"04320",1612,136
2005,"04330",2063,21
2005,"04340",1429,46
2005,"04350",NA,NA
2005,"04360",NA,NA
2005,"04390",NA,NA
2005,"04400",1792,562
2005,"04410",NA,NA
2005,"04420",1902,101
2005,"04430",2002,148
2005,"04440",1463,85
2005,"04460",1953,12
2005,"04480",NA,NA
2005,"04500",1567,35
2005,"04600",1521,150
2005,"04620",NA,NA
2005,"04660",NA,2
2005,"04840",NA,NA
2005,"04920",NA,NA
2005,"05100",1459,11
2005,"05200",1465,51
2005,"05400",1467,50
2005,"05430",NA,NA
2005,"05450",NA,NA
2005,"05460",1584,94
2005,"05510",NA,1
2005,"05620",NA,NA
2005,"05720",NA,NA
2005,"05800",1533,309
2005,"05810",NA,NA
2005,"05820",1416,49
2005,"05830",1598,155
2005,"05840",1457,97
2005,"05860",1311,16
2005,"05880",1278,42
2005,"05900",1463,92
2005,"06100",1962,302
2005,"06150",1662,69
2005,"06200",NA,2
2005,"06400",1492,87
2005,"06450",1635,33
2005,"06500",NA,NA
2005,"06530",1802,6
2005,"06650",1752,10
2005,"06750",NA,1
2005,"07110",NA,NA
2005,"07150",NA,NA
2005,"07170",1472,10
2005,"07190",NA,NA
2005,"07230",1416,11
2005,"07500",NA,NA
2005,"07510",NA,NA
2005,"07550",NA,NA
2005,"07560",NA,4
2005,"07600",NA,NA
2005,"07700",1282,7
2005,"07750",898,7
2005,"07800",NA,NA
2005,"07820",NA,1
2005,"07830",NA,NA
2005,"07880",NA,1
2005,"07890",NA,NA
2005,"07900",1044,56
2005,"07910",600,25
2005,"07920",1120,21
2005,"07930",NA,1
2005,"07940",749,28
2005,"07955",NA,1
2005,"07970",NA,1
2005,"07990",NA,1
2005,"08100",1677,170
2005,"08150",1658,33
2005,"08200",1368,66
2005,"08350",1305,42
2005,"08450",NA,1
2005,"08500",1611,103
2005,"08680",1608,11
2005,"08700",1348,76
2005,"08800",1532,6
2005,"09120",NA,5
2005,"09220",NA,2
2005,"09430",1350,10
2005,"09630",NA,NA
2005,"09810",NA,4
2005,"10210",1126,30
2005,"10300",1258,64
2005,"10320",981,9
2005,"10330",1212,6
2005,"10360",NA,1
2005,"10410",NA,1
2005,"10420",NA,5
2005,"10440",NA,3
2005,"10470",NA,NA
2005,"10520",NA,3
2005,"10570",NA,NA
2005,"10600",1711,83
2005,"10620",NA,3
2005,"10640",1652,10
2005,"10650",1334,21
2005,"10660",NA,3
2005,"10680",NA,NA
2005,"10710",NA,NA
2005,"10820",708,7
2005,"10900",1139,80
2005,"10940",1430,10
2005,"10960",1242,26
2005,"11100",1312,243
2005,"11120",1212,109
2005,"11130",903,114
2005,"11310",NA,1
2005,"11710",1394,21
2005,"11910",1339,22
2005,"12100",977,28
2005,"12130",NA,1
2005,"12240",1000,16
2005,"12310",938,21
2005,"12380",NA,2
2005,"12400",1013,81
2005,"12520",NA,1
2005,"12540",1181,9
2005,"12600",861,10
2005,"12700",1159,16
2005,"13100",1666,337
2005,"13110",NA,3
2005,"13130",1536,166
2005,"13200",1577,41
2005,"13210",1395,171
2005,"13220",1689,11
2005,"13250",982,21
2005,"13270",NA,3
2005,"13300",1422,41
2005,"13330",NA,1
2005,"13430",1467,6
2005,"13500",1360,163
2005,"13600",1224,89
2005,"13700",NA,NA
2005,"13720",1347,40
2005,"13800",1343,21
2005,"13880",1373,14
2005,"13900",NA,1
2005,"14200",1056,97
2005,"14300",906,9
2005,"14500",905,14
2005,"14610",NA,3
2005,"14680",NA,NA
2005,"14700",1027,9
2005,"14770",NA,2
2005,"14820",NA,5
2005,"14870",NA,NA
2005,"14960",NA,NA
2005,"15100",1573,139
2005,"15110",1695,129
2005,"15140",1642,336
2005,"15150",1339,159
2005,"15160",NA,NA
2005,"15170",1036,140
2005,"15200",1014,74
2005,"15210",1089,139
2005,"15230",948,29
2005,"15240",1026,171
2005,"15270",NA,1
2005,"15300",1055,49
2005,"15320",1441,7
2005,"15340",1411,13
2005,"15500",1011,116
2005,"15520",1169,100
2005,"15540",1230,37
2005,"15550",908,60
2005,"15560",870,55
2005,"15610",1281,27
2005,"15680",NA,NA
2005,"15700",1120,70
2005,"15800",1116,87
2005,"15810",1201,13
2005,"15830",1062,114
2005,"15840",1163,48
2005,"15850",1582,6
2005,"15860",1069,80
2005,"15870",1403,80
2005,"15880",1144,72
2005,"15900",1628,20
2005,"15950",1272,108
2005,"16100",686,16
2005,"16200",694,11
2005,"16300",985,137
2005,"16320",NA,NA
2005,"16500",NA,2
2005,"16600",953,45
2005,"16610",NA,2
2005,"16670",NA,2
2005,"16710",NA,3
2005,"16800",891,12
2005,"16900",821,43
2005,"17110",NA,NA
2005,"17130",NA,2
2005,"17200",1066,87
2005,"17240",NA,1
2005,"17500",862,15
2005,"17610",NA,NA
2005,"17800",768,18
2005,"18100",1210,171
2005,"18120",1108,8
2005,"18130",837,41
2005,"18150",911,37
2005,"18200",738,47
2005,"18300",818,23
2005,"18600",NA,1
2005,"19110",NA,2
2005,"19120",NA,1
2005,"19160",NA,NA
2005,"19210",NA,NA
2005,"19260",NA,1
2005,"19410",639,6
2005,"19420",NA,NA
2005,"19430",587,8
2005,"19470",NA,NA
2005,"19540",NA,NA
2005,"19600",720,16
2005,"19650",792,38
2005,"19670",NA,NA
2005,"19700",796,24
2005,"19910",NA,4
2005,"19950",NA,NA
2005,"20100",1918,836
2005,"20200",1418,97
2005,"20210",975,71
2005,"20240",829,88
2005,"20250",NA,3
2005,"20300",1332,135
2005,"20320",1325,368
2005,"20360",1033,267
2005,"20380",1556,18
2005,"20400",1521,7
2005,"20460",920,84
2005,"20500",1942,207
2005,"20520",1851,63
2005,"20540",1336,265
2005,"20610",1021,318
2005,"20660",1749,47
2005,"20700",2014,158
2005,"20720",1453,146
2005,"20740",1385,217
2005,"20750",915,124
2005,"20760",1289,59
2005,"20780",1365,212
2005,"20810",1795,416
2005,"20880",1472,140
2005,"20900",1902,67
2005,"20960",NA,NA
2005,"21100",1495,152
2005,"21110",1359,135
2005,"21120",NA,3
2005,"21140",931,9
2005,"21160",1377,8
2005,"21195",NA,1
2005,"21200",1166,272
2005,"21210",1220,45
2005,"21220",1141,23
2005,"21230",1019,6
2005,"21240",NA,2
2005,"21250",1293,68
2005,"21260",1180,44
2005,"21270",982,23
2005,"21280",1749,24
2005,"21290",1437,16
2005,"21310",1156,12
2005,"21330",1074,6
2005,"21350",NA,5
2005,"21360",1146,10
2005,"21370",NA,2
2005,"21380",1080,46
2005,"21410",NA,3
2005,"21420",1221,60
2005,"21430",NA,1
2005,"21450",802,8
2005,"21490",812,9
2005,"21500",1198,60
2005,"21530",971,88
2005,"21540",NA,4
2005,"21560",NA,1
2005,"21570",970,15
2005,"21590",NA,NA
2005,"21600",1084,88
2005,"21610",NA,NA
2005,"21620",1443,13
2005,"21630",NA,1
2005,"21650",NA,NA
2005,"21660",889,6
2005,"21710",NA,4
2005,"21760",NA,1
2005,"21800",765,18
2005,"21820",NA,3
2005,"21860",NA,1
2005,"21870",901,13
2005,"21880",NA,3
2005,"21900",777,9
2005,"21930",NA,1
2005,"23100",1034,39
2005,"23120",NA,3
2005,"23140",NA,NA
2005,"23200",643,9
2005,"23210",NA,NA
2005,"23260",NA,NA
2005,"23310",773,8
2005,"23360",NA,1
2005,"23450",NA,5
2005,"23500",712,228
2005,"23600",786,7
2005,"23800",783,95
2005,"23930",NA,1
2005,"23950",NA,3
2005,"24100",1177,308
2005,"24130",1117,39
2005,"24240",1079,81
2005,"24260",1086,112
2005,"24280",1212,77
2005,"24800",1089,112
2005,"24910",NA,1
2005,"25110",NA,2
2005,"25130",887,6
2005,"25160",NA,1
2005,"25190",649,13
2005,"25210",NA,NA
2005,"25230",NA,2
2005,"25240",NA,NA
2005,"25250",979,9
2005,"25260",NA,2
2005,"25320",NA,2
2005,"25330",NA,2
2005,"25340",NA,1
2005,"25360",889,13
2005,"25370",NA,NA
2005,"25380",NA,3
2005,"25390",502,8
