"tyyppi","lat","lon","osoite","nimi"
"Muut","60.1650045","24.9383955","Bulevardi 7,Helsinki","220 Energia Oy"
"Urheilukaupat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","4Runners"
"Autoliikkeet","60.15756505","24.6959206805523","Hannuksenpelto 14,Espoo","A-Katsastus"
"Autoliikkeet","60.2026368","24.7541133","Klovinpellontie 5,Espoo","A-Katsastus"
"Autoliikkeet","60.2214957","24.861567","Takkatie 7 A,Helsinki","A-Katsastus"
"Autoliikkeet","60.2044791","25.0471289","Mekaanikonkatu 12,Helsinki","A-Katsastus"
"Autoliikkeet","60.2114871","24.9195347","Postintaival 5,Helsinki","A-Katsastus"
"Autoliikkeet","60.1928544","25.0283303","Hitsaajankatu 10,Helsinki","A-Katsastus"
"Autoliikkeet","60.2312185","24.8634566","Päiväläisentie 1-6,Helsinki","A-Katsastus"
"Autoliikkeet","60.2107892","25.087846632553","Visbynkatu 3,Helsinki","A-Katsastus"
"Autoliikkeet","60.23910765","24.8440581681373","Konalankuja 4,Helsinki","A-Katsastus"
"Autoliikkeet","60.2309264","25.128008","Itäväylä 47,Helsinki","A-Katsastus"
"Autoliikkeet","60.1938855","24.9482551","Teollisuuskatu 16,Helsinki","A-Katsastus"
"Autoliikkeet","60.2445547","25.0439893","Takoraudantie 1,Helsinki","A-Katsastus"
"Autoliikkeet","60.2836123","24.9761929","Valimokuja 1,Vantaa","A-Katsastus"
"Autoliikkeet","60.2783946","25.0871745","Porttikaari 3,Vantaa","A-Katsastus"
"Autoliikkeet","60.2696513","24.878432","Vetokuja 2,Vantaa","A-Katsastus"
"Autoliikkeet","60.2773471","24.8660286","Kukintie 1,Vantaa","A-Katsastus"
"Autoliikkeet","60.3000991","24.8822959","Juhanilantie 2,Vantaa","A-Katsastus"
"Autoliikkeet","60.2890191","24.9975525","Kuriiritie 19,Vantaa","A-Katsastus"
"Autokorjaamot","60.2635232","24.8704571","Kaivosvoudintie 1 A,Vantaa","A-Laatutarvike"
"Siivouspalvelut","60.2456525","24.8551979","Arentipolku 3,Helsinki","AAA-Siivous Oy"
"Sekatavarakaupat","60.1679221","24.9489486","Pohjoisesplanadi 27,Helsinki","Aarikka"
"Sekatavarakaupat","60.1952029","24.9507534","Nokiantie 2-4 C,Helsinki","Aarikka"
"Huoltoasemat","60.2663372","24.7357437","Juvankartanontie 33,Espoo","ABC-automaatti"
"Huoltoasemat","60.1529916","24.6561923","Kivenlahdentie 9,Espoo","ABC-automaatti"
"Huoltoasemat","60.1783522","24.8272885","Miestentie 1,Espoo","ABC-automaatti"
"Huoltoasemat","60.1710502","24.7771443","Niittymaantie 4,Espoo","ABC-automaatti"
"Huoltoasemat","60.2614867","25.0758282","Huokotie 1,Helsinki","ABC-automaatti"
"Huoltoasemat","60.2642201","24.9835794","Kirkonkyläntie 39,Helsinki","ABC-automaatti"
"Huoltoasemat","60.2153201","25.0904251","Vanhanlinnantie 5,Helsinki","ABC-automaatti"
"Huoltoasemat","60.2298977","25.009508","Pihlajistontie 2,Helsinki","ABC-automaatti"
"Huoltoasemat","60.2373166","24.8908148","Kantelettarentie 1,Helsinki","ABC-automaatti"
"Huoltoasemat","60.1853486","24.9213655","Mannerheimintie 78,Helsinki","ABC-automaatti"
"Huoltoasemat","60.2925143","24.9619895","Vantaanportinkatu 3,Vantaa","ABC-automaatti"
"Liikennemyymälät","60.2095553","24.7427144","Kauniaistentie,Espoo","ABC-liikennemyymälä"
"Liikennemyymälät","60.2072369","24.7496328","Abc Nihtisilta,Espoo","ABC-liikennemyymälä"
"Liikennemyymälät","60.2541043","24.9534154047993","Ohrahuhdantie 8,Helsinki","ABC-liikennemyymälä"
"Liikennemyymälät","60.2251813","25.1679698","Rahtarinkatu 2,Helsinki","ABC-liikennemyymälä"
"Liikennemyymälät","60.324378","25.0242011","Koivukylänväylä 66,Vantaa","ABC-liikennemyymälä"
"Vaatekaupat","60.2188216","24.8128941","Leppävaarankatu 3-9,Espoo","Accessorize"
"Vaatekaupat","60.1694465","24.932871","Urho Kekkosen katu 1,Helsinki","Accessorize"
"Vaatekaupat","60.1916307","24.912036","Mannerheimintie 20 A,Helsinki","Accessorize"
"Vaatekaupat","60.2933366","25.0380468","Asematie 3,Vantaa","Adatto"
"Vaatekaupat","60.2933366","25.0380468","Asematie 3,Vantaa","Adatto Oy"
"Tietokoneliikkeet","60.2026412","24.6697062","Kirstinkatu 15,Espoo","AF-Systems"
"Ravintolat","60.1677322","24.9459574","Pohjoisesplanadi 21,Helsinki","Aino"
"Vaatekaupat","60.1633713","24.9385948","Fredrikinkatu 33,Helsinki","Aino-Shop"
"Kirjakaupat","60.1758991","24.8039275","Länsituulentie 10,Espoo","Akateeminen Kirjakauppa"
"Kirjakaupat","60.16951905","24.94285639283","Keskuskatu 1,Helsinki","Akateeminen Kirjakauppa"
"Kirjakaupat","60.2092277","25.0763207","Itäkatu 1 C,Helsinki","Akateeminen Kirjakauppa"
"Kirjakaupat","60.2925143","24.9619895","Vantaanportinkatu 3,Vantaa","Akateeminen Kirjakauppa"
"Pankit","60.149223","24.6568186","Espoonlahdenkatu 1,Espoo","Aktia pankki"
"Pankit","60.2041165","24.6520647","Kamreerintie 5,Espoo","Aktia pankki"
"Pankit","60.1754242","24.8033595","Länsituulenkuja 3,Espoo","Aktia pankki"
"Pankit","60.2092277","25.0763207","Itäkatu 1-5,Helsinki","Aktia pankki"
"Pankit","60.1781587","24.9569305","Hakaniemenranta 1,Helsinki","Aktia pankki"
"Pankit","60.2373166","24.8908148","Kantelettarentie 1,Helsinki","Aktia pankki"
"Pankit","60.1862098","24.9208084","Mannerheimintie 14,Helsinki","Aktia pankki"
"Pankit","60.1607854","24.8782333","Lauttasaarentie 39,Helsinki","Aktia pankki"
"Pankit","60.2060944","24.8782475","Raumantie 1,Helsinki","Aktia pankki"
"Pankit","60.1787223","24.9233204","Sandelsinkatu 6,Helsinki","Aktia pankki"
"Pankit",NA,NA,"Promenadiaukio 1,Kauniainen","Aktia pankki"
"Pankit","60.2612131","24.8539462","Kilterinraitti 6,Vantaa","Aktia pankki"
"Pankit","60.2933366","25.0380468","Asematie 2,Vantaa","Aktia pankki"
"Pankit","60.1712952","24.9202311","Mechelininkatu 1 A,Helsinki","Aktia Yrityspankki"
"Eläinkaupat","60.1828314","24.9308717","Helsinginkatu 14,Helsinki","Akvaario Arena"
"Eläinkaupat","60.29159065","25.0402625","Unikkotie 2,Vantaa","Akvaario Kurki"
"Eläinkaupat","60.2220088","24.8135062","Timpurinkuja 2,Espoo","Akvaarioliike Leppävaario"
"Vaatekaupat","60.1622684","24.7387191","Piispansilta 9,Espoo","Aleksi 13"
"Vaatekaupat","60.2188216","24.8128941","Leppävaarankatu 3-9,Espoo","Aleksi 13"
"Vaatekaupat","60.1690173","24.94617","Aleksanterinkatu 13,Helsinki","Aleksi 13"
"Vaatekaupat","60.2373166","24.8908148","Kantelettarentie 1,Helsinki","Aleksi 13"
"Vaatekaupat","60.2920259","25.0420625","Asematie 4-10,Vantaa","Aleksi 13"
"Vaatekaupat","60.2925143","24.9619895","Vantaanportinkatu 3,Vantaa","Aleksi 13"
"Ruokakaupat","60.228754","24.763055","Karakalliontie 10,Espoo","Alepa"
"Ruokakaupat","60.2048481","24.6739472","Kirstintie 19-21,Espoo","Alepa"
"Ruokakaupat","60.1526555","24.6344825","Merivirta 5,Espoo","Alepa"
"Ruokakaupat","60.2023507","24.8049749","Kirvuntie 22,Espoo","Alepa"
