"Postinumeroalue","Asukkaat.yhteensä..2013..HE.","Naiset..2013..HE.","Miehet..2013..HE.","Asukkaiden.keski.ikä..2013..HE.","X0.2.vuotiaat..2013..HE.","X3.6.vuotiaat..2013..HE.","X7.12.vuotiaat..2013..HE.","X13.15.vuotiaat..2013..HE.","X16.17.vuotiaat..2013..HE.","X18.19.vuotiaat..2013..HE.","X20.24.vuotiaat..2013..HE.","X25.29.vuotiaat..2013..HE.","X30.34.vuotiaat..2013..HE.","X35.39.vuotiaat..2013..HE.","X40.44.vuotiaat..2013..HE.","X45.49.vuotiaat..2013..HE.","X50.54.vuotiaat..2013..HE.","X55.59.vuotiaat..2013..HE.","X60.64.vuotiaat..2013..HE.","X65.69.vuotiaat..2013..HE.","X70.74.vuotiaat..2013..HE.","X75.79.vuotiaat..2013..HE.","X80.84.vuotiaat..2013..HE.","X85.vuotta.täyttäneet..2013..HE.","X18.vuotta.täyttäneet.yhteensä..2012..KO.","Perusasteen.suorittaneet..2012..KO.","Koulutetut.yhteensä..2012..KO.","Ylioppilastutkinnon.suorittaneet..2012..KO.","Ammatillisen.tutkinnon.suorittaneet..2012..KO.","Alemman.korkeakoulututkinnon.suorittaneet..2012..KO.","Ylemmän.korkeakoulututkinnon.suorittaneet..2012..KO.","X18.vuotta.täyttäneet.yhteensä..2012..HR.","Asukkaiden.keskitulot..2012..HR.","Asukkaiden.mediaanitulot..2012..HR.","Alimpaan.tuloluokkaan.kuuluvat.asukkaat..2012..HR.","Keskimmäiseen.tuloluokkaan.kuuluvat.asukkaat..2012..HR.","Ylimpään.tuloluokkaan.kuuluvat.asukkaat..2012..HR.","Asukkaiden.ostovoimakertymä..2012..HR.","Taloudet.yhteensä..2013..TE.","Talouksien.keskikoko..2013..TE.","Asumisväljyys..2013..TE.","Nuorten.yksinasuvien.taloudet..2013..TE.","Lapsettomat.nuorten.parien.taloudet..2013..TE.","Lapsitaloudet..2013..TE.","Pienten.lasten.taloudet..2013..TE.","Alle.kouluikäisten.lasten.taloudet..2013..TE.","Kouluikäisten.lasten.taloudet..2013..TE.","Teini.ikäisten.lasten.taloudet..2013..TE.","Aikuisten.taloudet..2013..TE.","Eläkeläisten.taloudet..2013..TE.","Omistusasunnoissa.asuvat.taloudet..2013..TE.","Vuokra.asunnoissa.asuvat.taloudet..2013..TE.","Muissa.asunnoissa.asuvat.taloudet..2013..TE.","Taloudet.yhteensä..2012..TR.","Talouksien.keskitulot..2012..TR.","Talouksien.mediaanitulot..2012..TR.","Alimpaan.tuloluokkaan.kuuluvat.taloudet..2012..TR.","Keskimmäiseen.tuloluokkaan.kuuluvat.taloudet..2012..TR.","Ylimpään.tuloluokkaan.kuuluvat.taloudet..2012..TR.","Talouksien.ostovoimakertymä..2012..TR.","Kesämökit.yhteensä..2013..RA.","Rakennukset.yhteensä..2013..RA.","Muut.rakennukset.yhteensä..2013..RA.","Asuinrakennukset.yhteensä..2013..RA.","Asunnot..2013..RA.","Asuntojen.keskipinta.ala..2013..RA.","Pientaloasunnot..2013..RA.","Kerrostaloasunnot..2013..RA.","Työpaikat.yhteensä..2012..TP.","Alkutuotannon.työpaikat..2012..TP.","Jalostuksen.työpaikat..2012..TP.","Palveluiden.työpaikat..2012..TP.","A.Maatalous..metsätalous.ja.kalatalous..2012..TP.","B.Kaivostoiminta.ja.louhinta..2012..TP.","C.Teollisuus..2012..TP.","D.Sähkö...kaasu..ja.lämpöhuolto..jäähdytysliiketoiminta..2012..TP.","E.Vesihuolto..viemäri..ja.jätevesihuolto.ja.muu.ympäristön.puhtaanapito..2012..TP.","F.Rakentaminen..2012..TP.","G.Tukku..ja.vähittäiskauppa..moottoriajoneuvojen.ja.moottoripyörien.korjaus..2012..TP.","H.Kuljetus.ja.varastointi..2012..TP.","I.Majoitus..ja.ravitsemistoiminta..2012..TP.","J.Informaatio.ja.viestintä..2012..TP.","K.Rahoitus..ja.vakuutustoiminta..2012..TP.","L.Kiinteistöalan.toiminta..2012..TP.","M.Ammatillinen..tieteellinen.ja.tekninen.toiminta..2012..TP.","N.Hallinto..ja.tukipalvelutoiminta..2012..TP.","O.Julkinen.hallinto.ja.maanpuolustus..pakollinen.sosiaalivakuutus..2012..TP.","P.Koulutus..2012..TP.","Q.Terveys..ja.sosiaalipalvelut..2012..TP.","R.Taiteet..viihde.ja.virkistys..2012..TP.","S.Muu.palvelutoiminta..2012..TP.","T.Kotitalouksien.toiminta.työnantajina..kotitalouksien.eriyttämätön.toiminta.tavaroiden.ja.palveluiden.tuottamiseksi.omaan.käyttöön..2012..TP.","U.Kansainvälisten.organisaatioiden.ja.toimielinten.toiminta..2012..TP.","X.Toimiala.tuntematon..2012..TP.","Asukkaat.yhteensä..2012..PT.","Työvoima..2012..PT.","Työlliset..2012..PT.","Työttömät..2012..PT.","Työvoiman.ulkopuolella.olevat..2012..PT.","Lapset.0.14..vuotiaat..2012..PT.","Opiskelijat..2012..PT.","Eläkeläiset..2012..PT.","Muut..2012..PT.","zip","pa","kaupunki","maa","zippa","lat","lon"
"00100 Helsinki Keskusta  (Helsinki)",17402,9144,8258,40,475,498,532,221,147,260,1687,2487,1990,1443,1028,973,955,844,850,1092,710,464,341,405,15521,2304,13217,2972,2800,2516,4929,15521,31536,24608,3084,6623,5814,4.89468e+08,9800,1.7,39.1,2011,895,1160,418,700,404,295,6367,2309,4579,4830,391,9765,49839,35825,1836,4032,3897,4.8668e+08,0,623,319,304,11395,66.2,2,11393,46945,128,1289,45527,128,1,210,771,0,307,8002,1480,4493,4915,4546,687,6545,1701,3263,2878,2611,1760,2434,0,212,1,17308,10303,9780,523,7005,1550,1222,3251,982,100,"Helsinki Keskusta","Helsinki","finland","00100 Helsinki finland",60.1665,24.9427
"00120 Punavuori  (Helsinki)",6795,3565,3230,40,188,222,227,98,65,97,557,886,781,610,446,417,381,371,369,399,297,172,105,107,5904,864,5040,1182,1146,859,1853,5904,35038,25712,1142,2420,2342,2.06862e+08,3838,1.8,40.2,723,316,518,176,303,180,130,2515,826,1944,1730,164,3790,54641,37216,684,1510,1596,2.0709e+08,0,248,103,145,4247,69.3,8,4239,9854,7,263,9584,7,4,137,12,4,106,1055,197,783,1088,787,227,1547,277,1040,414,633,226,1310,0,0,0,6681,4054,3833,221,2627,681,400,1156,390,120,"Punavuori","Helsinki","finland","00120 Helsinki finland",60.1637,24.9387
"00130 Kaartinkaupunki  (Helsinki)",1457,734,723,41,36,40,59,25,23,26,88,178,132,140,117,103,85,81,97,101,58,42,16,10,1307,192,1115,248,235,185,447,1307,46132,26995,281,458,568,6.0294e+07,789,1.8,44.4,126,64,114,31,52,45,37,506,172,414,338,37,798,75405,40654,131,278,389,6.01735e+07,0,142,109,33,846,76.2,0,846,11413,16,884,10513,16,4,672,3,1,204,774,512,733,651,845,213,1808,291,2078,146,1116,420,926,0,0,0,1502,873,841,32,629,167,109,246,107,130,"Kaartinkaupunki","Helsinki","finland","00130 Helsinki finland",60.1654,24.9476
"00140 Kaivopuisto  (Helsinki)",7707,4144,3563,41,194,251,329,145,99,108,541,885,842,660,500,509,468,409,423,497,334,216,130,167,6713,965,5748,1266,1251,1006,2225,6713,47176,26483,1272,2613,2828,3.16691e+08,4363,1.8,42.3,799,345,641,178,339,260,196,2698,1040,2159,1974,230,4354,73024,38378,801,1645,1908,3.17948e+08,0,242,74,168,5269,73.9,15,5254,2354,13,145,2196,13,0,36,0,0,109,242,155,238,273,14,87,351,90,86,29,254,100,276,1,0,0,7746,4421,4224,197,3325,895,516,1414,500,140,"Kaivopuisto","Helsinki","finland","00140 Helsinki finland",60.1526,24.9516
"00150 Eira  (Helsinki)",9277,4932,4345,39,258,286,259,123,72,126,818,1351,1198,916,596,544,520,455,458,487,346,196,122,146,8299,1303,6996,1570,1609,1341,2476,8299,35130,24238,1595,3771,2933,2.91541e+08,5671,1.6,34.5,1473,466,652,234,399,205,155,4021,1011,2833,2574,264,5689,50770,31543,1171,2507,2011,2.88832e+08,2,373,109,264,6695,55.3,32,6663,5250,11,728,4511,11,0,605,0,0,123,381,94,202,1217,26,110,1254,133,0,210,630,94,155,5,0,0,9300,5834,5502,332,3466,873,568,1434,591,150,"Eira","Helsinki","finland","00150 Helsinki finland",60.1576,24.9373
"00160 Katajanokka  (Helsinki)",4469,2404,2065,43,124,180,233,109,64,78,241,308,337,332,288,296,272,303,362,382,261,119,74,106,3808,680,3128,587,837,546,1158,3808,35506,25705,635,1695,1478,1.35207e+08,2314,1.9,40.6,169,130,419,108,218,175,126,1184,721,1178,1058,78,2325,58218,40203,333,1060,932,1.35356e+08,0,138,61,77,2617,77,3,2614,5279,6,426,4847,6,0,321,0,0,105,630,414,297,96,29,21,449,182,2131,44,76,10,468,0,0,0,4507,2344,2221,123,2163,597,306,1018,242,160,"Katajanokka","Helsinki","finland","00160 Helsinki finland",60.1669,24.9665
"00170 Kruununhaka  (Helsinki)",7219,3891,3328,40,218,226,290,124,92,126,489,832,818,635,463,472,455,430,379,430,282,184,139,135,6182,765,5417,1111,1187,963,2156,6182,33507,26052,1122,2551,2509,2.07141e+08,3961,1.8,38.5,677,294,616,199,341,231,170,2467,900,2028,1767,166,3898,53280,39070,659,1589,1650,2.07684e+08,0,258,124,134,4493,68.1,9,4484,8261,4,132,8124,4,0,26,0,0,106,281,40,433,120,621,56,435,113,2798,1766,284,564,613,0,0,1,7123,4277,4071,206,2846,801,519,1237,289,170,"Kruununhaka","Helsinki","finland","00170 Helsinki finland",60.1727,24.9558
"00180 Ruoholahti  (Helsinki)",12495,6570,5925,39,336,387,501,256,205,256,1057,1510,1461,1157,796,837,827,670,652,623,373,262,174,155,10497,2078,8419,1784,2601,1656,2378,10497,27099,23922,1930,5126,3441,2.84463e+08,6984,1.8,33.8,1247,621,1044,310,537,384,354,4669,1291,2826,3894,264,6853,41494,33155,1274,3378,2201,2.8436e+08,0,324,143,181,7947,59,66,7881,20140,4,1862,18274,4,0,727,231,29,875,1314,768,661,3440,1157,93,4090,746,2484,950,1177,443,951,0,0,0,12149,7308,6861,447,4841,1325,945,1936,635,180,"Ruoholahti","Helsinki","finland","00180 Helsinki finland",60.1638,24.9178
"00190 Suomenlinna  (Helsinki)",788,388,400,37,26,44,70,27,31,25,31,25,49,73,48,103,70,49,36,41,16,12,7,5,570,113,457,66,195,50,146,570,24494,23613,106,295,169,1.39618e+07,322,2.4,30.4,10,12,112,22,48,53,42,152,62,13,296,13,313,44382,38791,40,185,88,1.38916e+07,0,114,58,56,363,69.4,54,309,459,0,14,445,0,0,13,0,0,1,29,0,58,3,0,0,27,87,134,29,23,29,11,0,15,0,756,401,387,14,355,142,80,99,34,190,"Suomenlinna","Helsinki","finland","00190 Helsinki finland",60.1444,24.9815
"00200 Lauttasaari  (Helsinki)",14814,8113,6701,40,575,572,630,247,173,240,1029,1648,1707,1407,957,866,745,720,734,854,580,346,332,452,12475,1910,10565,2053,2758,2044,3710,12475,30229,25119,2005,5859,4611,3.77101e+08,8349,1.8,34.2,1467,720,1365,526,832,484,338,4994,2018,4725,3309,315,8300,45393,33814,1474,3868,2958,3.76761e+08,5,581,51,530,9080,60.1,489,8591,2437,2,195,2240,2,0,36,0,0,159,514,173,75,54,28,66,348,103,15,170,391,183,120,0,0,0,14607,8420,8001,419,6187,1873,940,2791,583,200,"Lauttasaari","Helsinki","finland","00200 Helsinki finland",60.1601,24.8842
