"ravintolat","osoitteet","hinta_laadut"
"Coconut Street","Lönnrotinkatu 34,, 0018 Helsinki",5
"Harjun makkaratehtaan toriravintola","Eteläsatama, Kauppatori, 00170 Helsinki",NA
"Ravintola Uno","Oulunkyläntie 2, 00600 Helsinki",NA
"Il Birrificio","Fredrikinkatu 22, 00120 Helsinki",NA
"Kita","Fredrikinkatu 46, 00100 Helsinki",NA
"No.5 Coffee","Kirkkokatu 5, 00170 Helsinki",NA
"Fat Ramen","Lönnrotinkatu 24, Hietalahden Kauppahalli, 00180 Helsinki",NA
"Ravintola Bröd","Bulevardi 26, 00100 Helsinki",NA
"Lounasravintola Onni","Nuijamiestentie 3, 00400 Helsinki",4
"Lounasravintola Onni","Nuijamiestentie 3, 00400 Helsinki",NA
"Ravintola Nälkä","Meritullinkatu 13, 00170 Helsinki",2
"B-Side Bar","Työpajankatu 2 A R1 C, 00580 Helsinki",2
"Cafe98","Mannerheimintie 98, 00250 Helsinki",5
"Subway Teollisuuskatu","Teollisuuskatu 21, 00510 Helsinki",NA
"Vuosaaren Maukas Pizzeria","Haapasaarentie 3, 00960 Helsinki",NA
"SOUP","Runeberginkatu 54, 00260 Helsinki",5
"sepia","mäkelänkatu 30, 00510 Helsinki",3
"Pizzeria Restorant Cafe","Malminkaari 4, 00700 Helsinki",NA
"Malmin pizzapalvelu","Väärämäentie 3, 00700 Helsinki",NA
"Iman Ravintola","Yliskyläntie 3, 00840 Helsinki",NA
"Friends & Brgrs","Mikonkatu 8, 00100 Helsinki",3.8
"Pizza Pizza","Vuotie 3, 00980 Helsinki",NA
"Pizza Express Leppävaara","Takkatie 7, 00370 Helsinki",NA
"Beach","Sturenkatu 28, 00510 Helsinki",4.8
"Theron Catering Tammasaarenlaituri","Tammasaarenlaituri 3, 00180 Helsinki",NA
"Coco grill","Tulisuontie 1, 00820 Helsinki",5
"Fu Man Lou","Hämeentie 10, 00530 Helsinki",1.4
"Xico & Co","Malminkaari 19, 00700 Helsinki",NA
"ROASBERG","MIKONKATU 13, 00100 Helsinki",4
"Lounasravintola Restapar","Hankasuontie 11 E, 00390 Helsinki",5
"BuffetGo palvelu Pihlajanmäen ruokamestarissa","Rapakivenkuja 9, 00710 Helsinki",NA
"BuffetGo palvelu Bistro Kaskessa","Latokartanonkaari 23, 00790 Helsinki",NA
"Codle","Hämeentie 21, 00500 Helsinki",5
"Ravintola Fenkoli","Tehtaankatu 21, 00150 Helsinki",2.5
"Hoku","Merihiemenkatu 18, 00150 Helsinki",5
"Sushi Forest 寿司の森","Hämeentie 32, 00530 Helsinki",5
"Burger King Itis Helsinki","Itäkatu 1-5, 00930 Helsinki",NA
"St Cafe and Catering","Myllypurontie 1, 00920 Helsinki",NA
"Burger King Kamppi Helsinki","Urho Kekkosen katu 1, 00100 Helsinki",NA
"Burger King Aleksanterinkatu Helsinki","Aleksanterinkatu 11, 00100 Helsinki",NA
"Murkina","Kornetintie 3, 00380 Helsinki",1
"Namaskaar Bistro","Mannerheimintie 100, 00250 Helsinki",3
"Rax Buffet Aleksanterinkatu Helsinki","Aleksanterinkatu 11, 00100 Helsinki",NA
"Leonardo Bar Ristorante","Kaivokatu 6, 00100 Helsinki",3
"Govindam kasvisravintola","Latokartanontie 11, 00700 Helsinki",5
"Mustacho's","Albertinkatu 36, 00180 Helsinki",NA
"Ravintola Antica Roma","",3.5
"Käpylän Majakka","Joukolantie 3, 00610 Helsinki",3.5
"Brasileira","Hermannin rantatie 10, 00580 Helsinki",3.7
"Lounaskahvila Mansku","Mannerheimintie 124, 00270 Helsinki",5
"Mount Kailash","Tyynenmerenkatu 5, 00220 Helsinki",3.3
"Mashiro","Mäkelänkatu 22, 00510 Helsinki",5
"Ravintola Mambo","Meripihkatie 1-3, 00710 Helsinki",5
"Hanko Sushi Kannelmäki","",3
"Pikku Georgia","fredrikinkatu 19, 00120 Helsinki",2
"Antell Paciuksenkatu 21","Paciuksenkatu 21, 00420 Helsinki",5
"Sirat Ravintola","Vattuniemenkatu  9, 00210 Helsinki",4.6
"Everest View","Kirkkoherrantie 8, 00650 Helsinki",4.5
"Rupla","Helsinginkatu 16, 00500 Helsinki",4
"Alfon's Pizza 2.0","Vuorimiehenkatu 35, 00150 Helsinki",NA
"CAFE+","Lapinrinne 2, 00180 Helsinki",NA
"Ravintola Spice Garden","Lintuvaarantie 28, 02650 Espoo",NA
"Ravintola Pub Daire","Koroistentie 8, 00280 Helsinki",NA
"Satkar Kamppi","Fredrikinkatu 46, 00100 Helsinki",3
"Teriö","Uudenmaankatu 31, 00120 Helsinki",4.6
"Levant","",4.2
"Street Döner","Mannerheimintie 14, 00100 Helsinki",3
"Caffeine","Kampinkuja 2, 00100 Helsinki",NA
"Point Bar & Restaurant","Iso Roobertinkatu 10, 00120 Helsinki",2.5
"McDonald's Ala-Tikkurila","Aamuruskontie 2, 00750 Helsinki",5
"Istanbul Grilli","",4.4
