"","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA"
"2","220 Energia Oy","Bulevardi 7","00120","Helsinki","Kamppi","","Muut"
"9","4Runners","Urho Kekkosen katu 1","00100","Helsinki","Kamppi","","Urheilukaupat"
"18","A-Katsastus","Hannuksenpelto 14","02270","Espoo","Hannus","","Autoliikkeet"
"19","A-Katsastus","Klovinpellontie 5","02180","Espoo","Taavinkylä","","Autoliikkeet"
"31","A-Katsastus","Takkatie 7 A","00370","Helsinki","Pitäjänmäki","","Autoliikkeet"
"32","A-Katsastus","Mekaanikonkatu 12","00880","Helsinki","Herttoniemi","","Autoliikkeet"
"33","A-Katsastus","Postintaival 5","00240","Helsinki","Pohjois-Pasila","","Autoliikkeet"
"34","A-Katsastus","Hitsaajankatu 10","00810","Helsinki","Herttoniemenranta","","Autoliikkeet"
"35","A-Katsastus","Päiväläisentie 1-6","00390","Helsinki","Reimarla","","Autoliikkeet"
"36","A-Katsastus","Visbynkatu 3","00930","Helsinki","Itäkeskus","","Autoliikkeet"
"37","A-Katsastus","Konalankuja 4","00390","Helsinki","Konala","","Autoliikkeet"
"38","A-Katsastus","Itäväylä 47","00950","Helsinki","Vartioharju","","Autoliikkeet"
"39","A-Katsastus","Teollisuuskatu 16","00510","Helsinki","Vallila","","Autoliikkeet"
"40","A-Katsastus","Takoraudantie 1","00700","Helsinki","Tattariharju","","Autoliikkeet"
"181","A-Katsastus","Valimokuja 1","01510","Vantaa","Pakkala","","Autoliikkeet"
"182","A-Katsastus","Porttikaari 3","01200","Vantaa","Kuninkaala","","Autoliikkeet"
"183","A-Katsastus","Vetokuja 2","01610","Vantaa","Kaivoksela","","Autoliikkeet"
"184","A-Katsastus","Kukintie 1","01620","Vantaa","Martinlaakso","","Autoliikkeet"
"185","A-Katsastus","Juhanilantie 2","01740","Vantaa","Viinikkala","","Autoliikkeet"
"186","A-Katsastus","Kuriiritie 19","01510","Vantaa","Koivuhaka","","Autoliikkeet"
