"X.EMPTY.","Nimi","Osoite","Postinro","Paikkakunta","Kaupunginosa","Aukioloaika","NA.","osoite_paikkakunta","lat","lon"
2,"220 Energia Oy","Bulevardi 7",120,"Helsinki","Kamppi",NA,"Muut","Bulevardi 7,Helsinki","60.1650045","24.9383955"
9,"4Runners","Urho Kekkosen katu 1",100,"Helsinki","Kamppi",NA,"Urheilukaupat","Urho Kekkosen katu 1,Helsinki","60.1694465","24.932871"
18,"A-Katsastus","Hannuksenpelto 14",2270,"Espoo","Hannus",NA,"Autoliikkeet","Hannuksenpelto 14,Espoo","60.15756505","24.6959206805523"
19,"A-Katsastus","Klovinpellontie 5",2180,"Espoo","Taavinkylä",NA,"Autoliikkeet","Klovinpellontie 5,Espoo","60.2026368","24.7541133"
31,"A-Katsastus","Takkatie 7 A",370,"Helsinki","Pitäjänmäki",NA,"Autoliikkeet","Takkatie 7 A,Helsinki","60.2214957","24.861567"
32,"A-Katsastus","Mekaanikonkatu 12",880,"Helsinki","Herttoniemi",NA,"Autoliikkeet","Mekaanikonkatu 12,Helsinki","60.2044791","25.0471289"
33,"A-Katsastus","Postintaival 5",240,"Helsinki","Pohjois-Pasila",NA,"Autoliikkeet","Postintaival 5,Helsinki","60.2114871","24.9195347"
34,"A-Katsastus","Hitsaajankatu 10",810,"Helsinki","Herttoniemenranta",NA,"Autoliikkeet","Hitsaajankatu 10,Helsinki","60.1928544","25.0283303"
35,"A-Katsastus","Päiväläisentie 1-6",390,"Helsinki","Reimarla",NA,"Autoliikkeet","Päiväläisentie 1-6,Helsinki","60.2312185","24.8634566"
36,"A-Katsastus","Visbynkatu 3",930,"Helsinki","Itäkeskus",NA,"Autoliikkeet","Visbynkatu 3,Helsinki","60.2107892","25.087846632553"
37,"A-Katsastus","Konalankuja 4",390,"Helsinki","Konala",NA,"Autoliikkeet","Konalankuja 4,Helsinki","60.23910765","24.8440581681373"
38,"A-Katsastus","Itäväylä 47",950,"Helsinki","Vartioharju",NA,"Autoliikkeet","Itäväylä 47,Helsinki","60.2309264","25.128008"
39,"A-Katsastus","Teollisuuskatu 16",510,"Helsinki","Vallila",NA,"Autoliikkeet","Teollisuuskatu 16,Helsinki","60.1938855","24.9482551"
40,"A-Katsastus","Takoraudantie 1",700,"Helsinki","Tattariharju",NA,"Autoliikkeet","Takoraudantie 1,Helsinki","60.2445547","25.0439893"
181,"A-Katsastus","Valimokuja 1",1510,"Vantaa","Pakkala",NA,"Autoliikkeet","Valimokuja 1,Vantaa","60.2836123","24.9761929"
182,"A-Katsastus","Porttikaari 3",1200,"Vantaa","Kuninkaala",NA,"Autoliikkeet","Porttikaari 3,Vantaa","60.2783946","25.0871745"
183,"A-Katsastus","Vetokuja 2",1610,"Vantaa","Kaivoksela",NA,"Autoliikkeet","Vetokuja 2,Vantaa","60.2696513","24.878432"
184,"A-Katsastus","Kukintie 1",1620,"Vantaa","Martinlaakso",NA,"Autoliikkeet","Kukintie 1,Vantaa","60.2773471","24.8660286"
185,"A-Katsastus","Juhanilantie 2",1740,"Vantaa","Viinikkala",NA,"Autoliikkeet","Juhanilantie 2,Vantaa","60.3000991","24.8822959"
